wl,n,k
0.19241499299999998,1.074627,2.424196
0.194001999,1.095561,2.4470080000000003
0.195589081,1.116823,2.4696919999999998
0.19717617799999998,1.138416,2.492245
0.198763351,1.1603450000000002,2.5146610000000003
0.200350571,1.182612,2.536936
0.201937836,1.205222,2.559064
0.203525162,1.228176,2.5810400000000002
0.205112518,1.251479,2.6028580000000003
0.20669992099999998,1.275133,2.6245119999999997
0.20828739899999998,1.299143,2.645996
0.209874908,1.323511,2.667303
0.211462448,1.348239,2.6884259999999998
0.21305004900000002,1.3733309999999999,2.709359
0.21463769500000002,1.398791,2.730094
0.216225388,1.424619,2.750623
0.217813141,1.45082,2.77094
0.219400925,1.477395,2.791034
0.22098877000000003,1.5043469999999999,2.810899
0.22257663,1.531678,2.830525
0.224164581,1.55939,2.849904
0.225752533,1.5874840000000001,2.869026
0.22734054599999998,1.6159629999999998,2.887882
0.228928619,1.644827,2.906461
0.230516693,1.674077,2.924753
0.232104858,1.703716,2.942749
0.233693039,1.733742,2.9604369999999998
0.235281281,1.764156,2.977806
0.23686953700000002,1.794959,2.994846
0.238457855,1.82615,3.0115439999999998
0.240046219,1.8577279999999998,3.027889
0.241634598,1.889692,3.0438680000000002
0.243223053,1.9220409999999999,3.059469
0.244811523,1.9547729999999999,3.07468
0.24640005499999998,1.987886,3.089489
0.247988602,2.021376,3.1038799999999998
0.249577194,2.055241,3.117842
0.251165848,2.089477,3.131361
0.252754517,2.124079,3.1444229999999997
0.254343231,2.1590439999999997,3.1570150000000003
0.25593200699999996,2.1943650000000003,3.169122
0.25752081299999996,2.230037,3.18073
0.25910964999999997,2.266053,3.191825
0.26069851699999996,2.302407,3.202393
0.262287415,2.339089,3.2124200000000003
0.263876373,2.376093,3.22189
0.26546536299999995,2.413409,3.2307900000000003
0.267054382,2.4510259999999997,3.239105
0.26864343300000004,2.4889349999999997,3.24682
0.270232513,2.527124,3.253922
0.27182165499999994,2.565582,3.260397
0.273410828,2.6042959999999997,3.2662310000000003
0.275000031,2.643251,3.2714090000000002
0.276589264,2.682435,3.275919
0.278178528,2.721832,3.279748
0.279767822,2.761425,3.282882
0.281357147,2.8012,3.28531
0.282946533,2.841139,3.2870190000000004
0.28453595000000004,2.881222,3.2879970000000003
0.28612536600000005,2.921432,3.288236
0.28771484399999997,2.96175,3.287723
0.289304352,3.002155,3.2864489999999997
0.29089386,3.042626,3.2844050000000005
0.292483459,3.0831419999999996,3.2815839999999996
0.29407302900000004,3.123679,3.2779769999999995
0.29566265899999994,3.164217,3.273577
0.297252319,3.204731,3.268381
0.29884201,3.245198,3.262382
0.300431732,3.285594,3.255576
0.302021484,3.3258919999999996,3.247961
0.303611267,3.3660690000000004,3.239536
0.30520105000000003,3.4060989999999998,3.230299
0.306790894,3.445957,3.2202509999999998
0.30838076799999997,3.4856160000000003,3.209393
0.309970642,3.5250510000000004,3.1977279999999997
0.311560577,3.564235,3.185261
0.313150543,3.603143,3.171996
0.314740509,3.641748,3.157939
0.316330505,3.680024,3.143098
0.317920532,3.717946,3.127482
0.31951059,3.755489,3.1111
0.321100677,3.7926279999999997,3.0939650000000003
0.322690796,3.829337,3.076087
0.324280914,3.865593,3.057481
0.325871063,3.9013720000000003,3.038161
0.327461243,3.9366519999999996,3.0181419999999997
0.329051453,3.9714110000000002,2.997441
0.330641693,4.005626,2.976077
0.332231964,4.0392779999999995,2.9540669999999998
0.333822235,4.072347,2.931432
0.335412537,4.104814,2.908191
0.337002869,4.136661,2.884366
0.338593231,4.167871,2.859979
0.340183594,4.19843,2.835052
0.34177398700000006,4.228322,2.809609
0.34336441,4.2575330000000005,2.783674
0.344954865,4.286053,2.757271
0.346545319,4.313869,2.730424
0.34813580299999997,4.340971,2.703158
0.349726288,4.3673519999999995,2.6755
0.35131683300000005,4.393002,2.6474729999999997
0.35290734900000004,4.417916,2.619104
0.354497894,4.44209,2.590418
0.35608850099999995,4.465518,2.561441
0.35767910799999997,4.488198000000001,2.532198
0.359269714,4.510128,2.502714
0.360860352,4.531307,2.473015
0.362450989,4.551736,2.443126
0.364041687,4.571416999999999,2.4130700000000003
0.365632385,4.590351999999999,2.3828720000000003
0.367223083,4.608544,2.3525560000000003
0.368813782,4.625998,2.322145
0.370404541,4.6427190000000005,2.291662
0.3719953,4.658713,2.261128
0.37358606000000005,4.673988,2.230566
0.375176849,4.68855,2.199995
0.37676763900000004,4.702408999999999,2.169438
0.378358459,4.715573,2.138912
0.37994931000000004,4.728053,2.108437
0.381540161,4.739857,2.078032
0.383131042,4.750998,2.047714
0.38472189300000004,4.761486,2.0175
0.386312805,4.771332,1.9874060000000002
0.387903687,4.78055,1.9574470000000002
0.38949459799999997,4.789152,1.9276380000000002
0.39108551,4.797149,1.897993
0.392676453,4.804555000000001,1.868524
0.394267426,4.811383,1.839246
0.395858398,4.817647,1.810168
0.397449371,4.82336,1.7813029999999999
0.399040344,4.828535,1.752661
0.400631348,4.833186,1.7242520000000001
0.402222351,4.837326999999999,1.696084
0.40381338499999997,4.840971,1.668166
0.405404388,4.844132,1.6405060000000002
0.406995422,4.846825,1.613111
0.40858648700000005,4.849061,1.585987
0.410177551,4.850855,1.5591409999999999
0.41176861600000003,4.852221,1.5325790000000001
0.41335967999999995,4.8531699999999995,1.506304
0.41495074500000007,4.853717,1.480322
0.41654184,4.853873999999999,1.4546370000000002
0.41813290399999997,4.853655000000001,1.429252
0.41972402999999997,4.853071,1.404169
0.421315125,4.852136,1.379392
0.42290625,4.85086,1.3549229999999999
0.42449737499999995,4.849257,1.3307639999999998
0.42608853099999994,4.847338,1.306916
0.427679626,4.845115,1.28338
0.429270813,4.842598000000001,1.260157
0.430861908,4.839799,1.237248
0.432453064,4.836729,1.214652
0.43404424999999996,4.833397,1.192369
0.435635345,4.829816,1.1704
0.437226501,4.825994000000001,1.148743
0.438817688,4.821941000000001,1.127397
0.440408844,4.817667,1.106362
0.442000061,4.813181,1.0856350000000001
0.443591217,4.808493,1.065217
0.445182373,4.803611,1.045104
0.446773529,4.7985430000000004,1.025295
0.44836468499999993,4.793298,1.005789
0.44995590199999996,4.787884,0.9865809999999999
0.451547058,4.78231,0.967672
0.45313824500000005,4.776581,0.949058
0.45472943099999996,4.770707,0.930737
0.45632061799999996,4.764694,0.9127059999999999
0.45791177400000005,4.7585489999999995,0.894962
0.459502991,4.752278,0.877503
0.46109414699999995,4.745889,0.860325
0.46268530300000005,4.739388,0.843427
0.464276459,4.73278,0.8268049999999999
0.46586767599999995,4.726072,0.810455
0.46745883200000005,4.719269000000001,0.794376
0.469049988,4.712378,0.778563
0.47064117400000005,4.705401999999999,0.763013
0.47223233,4.698348999999999,0.7477239999999999
0.47382348600000007,4.691221,0.732693
0.475414642,4.684024,0.717915
0.477005768,4.676764,0.703388
0.478596924,4.669444,0.689109
0.48018807999999996,4.662069,0.675074
0.481779205,4.654643,0.66128
0.4833703,4.64717,0.6477229999999999
0.484961487,4.639653,0.634401
0.486552582,4.632097,0.621311
0.488143707,4.624505999999999,0.608449
0.48973480199999997,4.616880999999999,0.595811
0.491325867,4.609229,0.583395
0.492916992,4.60155,0.571198
0.494508057,4.593849,0.5592159999999999
0.496099182,4.5861279999999995,0.547445
0.497690247,4.578391000000001,0.535884
0.499281311,4.57064,0.524529
0.500872314,4.562876999999999,0.5133770000000001
0.502463379,4.555105999999999,0.502425
0.5040543820000001,4.547328,0.49166899999999997
0.505645416,4.539547,0.48110699999999995
0.50723642,4.531764,0.470736
0.508827454,4.523982,0.460552
0.510418457,4.516202,0.450554
0.512009399,4.508426999999999,0.440738
0.513600403,4.500659,0.431101
0.5151913450000001,4.4928989999999995,0.42163999999999996
0.516782288,4.48515,0.41235299999999997
0.51837323,4.477412999999999,0.403237
0.519964172,4.469689,0.394289
0.521555054,4.461981,0.385506
0.5231459350000001,4.454289,0.37688699999999997
0.5247368769999999,4.446616000000001,0.368427
0.5263277590000001,4.438962,0.360126
0.527918579,4.43133,0.351979
0.529509399,4.423719,0.343985
0.53110022,4.416131,0.336142
0.53269104,4.408569,0.328445
0.5342818599999999,4.401032,0.320895
0.535872681,4.393522,0.313487
0.5374633790000001,4.386039,0.30622
0.539054138,4.378585,0.299091
0.5406448970000001,4.371161,0.292098
0.542235596,4.363767,0.28523899999999996
0.543826294,4.356404,0.278511
0.5454169919999999,4.349074,0.271913
0.54700769,4.341776,0.265442
0.5485982669999999,4.334512999999999,0.25909699999999997
0.550188904,4.327283,0.252874
0.551779541,4.320088,0.246772
0.5533701169999999,4.3129290000000005,0.24079
0.554960693,4.305806,0.23492399999999997
0.55655127,4.298719,0.229174
0.5581417849999999,4.291669000000001,0.22353699999999999
0.5597323,4.284658,0.218011
0.561322815,4.277684,0.212594
0.562913269,4.2707489999999995,0.207285
0.5645037230000001,4.263853,0.20208199999999998
