wl,n,k
0.19241499299999998,1.9542599999999999,1.150053
0.194001999,1.9756799999999999,1.148013
0.195589081,1.995577,1.146499
0.19717617799999998,2.013049,1.145799
0.198763351,2.0273,1.14616
0.200350571,2.0376279999999998,1.147793
0.201937836,2.043409,1.150896
0.203525162,2.044562,1.1555540000000002
0.205112518,2.042528,1.161516
0.20669992099999998,2.0389169999999996,1.168488
0.20828739899999998,2.035193,1.17619
0.209874908,2.0326880000000003,1.184344
0.211462448,2.032608,1.19268
0.21305004900000002,2.035994,1.200941
0.21463769500000002,2.043041,1.208972
0.216225388,2.053251,1.216705
0.217813141,2.066133,1.2240959999999999
0.219400925,2.081236,1.231111
0.22098877000000003,2.0981419999999997,1.237725
0.22257663,2.116472,1.243919
0.224164581,2.135882,1.249681
0.225752533,2.1561169999999996,1.255013
0.22734054599999998,2.177043,1.259946
0.228928619,2.198547,1.264512
0.230516693,2.220526,1.2687389999999998
0.232104858,2.242887,1.2726549999999999
0.233693039,2.265542,1.276284
0.235281281,2.288414,1.279648
0.23686953700000002,2.311433,1.282767
0.238457855,2.3344970000000003,1.285688
0.240046219,2.3574349999999997,1.288509
0.241634598,2.380082,1.291324
0.243223053,2.402291,1.294214
0.244811523,2.42393,1.297252
0.24640005499999998,2.4448819999999998,1.300499
0.247988602,2.465039,1.304011
0.249577194,2.48431,1.307833
0.251165848,2.502612,1.312008
0.252754517,2.520003,1.31643
0.254343231,2.5368619999999997,1.320662
0.25593200699999996,2.553586,1.324258
0.25752081299999996,2.570535,1.326817
0.25910964999999997,2.5880400000000003,1.327982
0.26069851699999996,2.6064060000000002,1.327434
0.262287415,2.625913,1.324894
0.263876373,2.646825,1.3201180000000001
0.26546536299999995,2.669388,1.312901
0.267054382,2.693833,1.3030760000000001
0.26864343300000004,2.72028,1.290571
0.270232513,2.74837,1.275636
0.27182165499999994,2.777635,1.258584
0.273410828,2.807646,1.2396969999999998
0.275000031,2.838007,1.219223
0.276589264,2.868354,1.197381
0.278178528,2.898352,1.174358
0.279767822,2.927696,1.150312
0.281357147,2.956101,1.125378
0.282946533,2.98331,1.099665
0.28453595000000004,3.0090830000000004,1.073264
0.28612536600000005,3.033201,1.046245
0.28771484399999997,3.055556,1.018675
0.289304352,3.0762,0.9906309999999999
0.29089386,3.095196,0.962189
0.292483459,3.112596,0.933416
0.29407302900000004,3.12845,0.904375
0.29566265899999994,3.142804,0.875123
0.297252319,3.155695,0.8457129999999999
0.29884201,3.167159,0.816194
0.300431732,3.177229,0.78661
0.302021484,3.185931,0.757003
0.303611267,3.193292,0.7274109999999999
0.30520105000000003,3.199333,0.697868
0.306790894,3.204075,0.668403
0.30838076799999997,3.2075400000000003,0.639055
0.309970642,3.2097740000000003,0.609893
0.311560577,3.210825,0.5809949999999999
0.313150543,3.210738,0.552433
0.314740509,3.20955,0.5242760000000001
0.316330505,3.207293,0.49659200000000003
0.317920532,3.203996,0.46944300000000005
0.31951059,3.199684,0.442887
0.321100677,3.194379,0.416984
0.322690796,3.188096,0.391788
0.324280914,3.1808520000000002,0.36735
0.325871063,3.172657,0.343721
0.327461243,3.163521,0.320948
0.329051453,3.153451,0.299078
0.330641693,3.142451,0.278156
0.332231964,3.1305259999999997,0.25822399999999995
0.333822235,3.117723,0.239285
0.335412537,3.104145,0.22129899999999997
0.337002869,3.08989,0.204227
0.338593231,3.075055,0.18803599999999998
0.340183594,3.059735,0.17269500000000002
0.34177398700000006,3.04402,0.158175
0.34336441,3.0279990000000003,0.144452
0.344954865,3.011757,0.131503
0.346545319,2.995377,0.119309
0.34813580299999997,2.978941,0.107852
0.349726288,2.962526,0.09711499999999999
0.35131683300000005,2.9462099999999998,0.08708400000000001
0.35290734900000004,2.930066,0.077747
0.354497894,2.914166,0.069091
0.35608850099999995,2.8985819999999998,0.06110499999999999
0.35767910799999997,2.883381,0.053779999999999994
0.359269714,2.868629,0.047105
0.360860352,2.854391,0.041073
0.362450989,2.840703,0.035666
0.364041687,2.82755,0.030851
0.365632385,2.814911,0.026592
0.367223083,2.802766,0.022854
0.368813782,2.7910939999999997,0.019603
0.370404541,2.779877,0.016806
0.3719953,2.769096,0.014428999999999999
0.37358606000000005,2.7587349999999997,0.012440000000000001
0.375176849,2.748775,0.010808
0.37676763900000004,2.739201,0.009503
0.378358459,2.729997,0.008494
0.37994931000000004,2.721147,0.007753
0.381540161,2.7126360000000003,0.0072510000000000005
0.383131042,2.7044509999999997,0.006961
0.38472189300000004,2.696576,0.006856
0.386312805,2.6889990000000004,0.0069099999999999995
0.387903687,2.681706,0.0071
0.38949459799999997,2.674684,0.007398999999999999
0.39108551,2.6679209999999998,0.0077859999999999995
0.392676453,2.661404,0.008237999999999999
0.394267426,2.655122,0.008733
0.395858398,2.649063,0.009251
0.397449371,2.643217,0.009781
0.399040344,2.637573,0.010319
0.400631348,2.6321209999999997,0.010864
0.402222351,2.626852,0.011412
0.40381338499999997,2.621755,0.011962
0.405404388,2.616823,0.012512
0.406995422,2.612046,0.013058000000000002
0.40858648700000005,2.607415,0.0136
0.410177551,2.602923,0.014135
0.41176861600000003,2.598561,0.014661000000000002
0.41335967999999995,2.594321,0.015177000000000001
0.41495074500000007,2.5901970000000003,0.015681
0.41654184,2.58618,0.016171
0.41813290399999997,2.582263,0.016646
0.41972402999999997,2.578441,0.017103999999999998
0.421315125,2.574706,0.017544
0.42290625,2.571052,0.017963999999999997
0.42449737499999995,2.567472,0.018363
0.42608853099999994,2.563962,0.018741
0.427679626,2.560514,0.019094999999999997
0.429270813,2.557124,0.019424
